ts,datetime,exchange,symbol,funding_rate,funding_rate_bps,next_funding_time,mark_price,oracle_price,index_price,open_interest
1778885336,2026-05-15T22:48:55.575712+00:00,hyperliquid,SOL,-8.800375e-07,-0.008800375,,,,,
1778885336,2026-05-15T22:48:55.575712+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885391,2026-05-15T22:49:51.351324+00:00,hyperliquid,BTC,-1.5468375e-06,-0.015468375,,,,,
1778885391,2026-05-15T22:49:51.351324+00:00,hyperliquid,ETH,4.05575e-07,0.00405575,,,,,
1778885391,2026-05-15T22:49:51.351324+00:00,hyperliquid,SOL,-8.56325e-07,-0.00856325,,,,,
1778885391,2026-05-15T22:49:51.351324+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885396,2026-05-15T22:49:56.290326+00:00,hyperliquid,BTC,-1.544075e-06,-0.01544075,,,,,
1778885396,2026-05-15T22:49:56.290326+00:00,hyperliquid,ETH,4.0855e-07,0.0040855,,,,,
1778885396,2026-05-15T22:49:56.290326+00:00,hyperliquid,SOL,-8.576375e-07,-0.008576375,,,,,
1778885396,2026-05-15T22:49:56.290326+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885452,2026-05-15T22:50:52.081588+00:00,hyperliquid,BTC,-1.507525e-06,-0.01507525,,,,,
1778885452,2026-05-15T22:50:52.081588+00:00,hyperliquid,ETH,4.164875e-07,0.004164875,,,,,
1778885452,2026-05-15T22:50:52.081588+00:00,hyperliquid,SOL,-8.55675e-07,-0.00855675,,,,,
1778885452,2026-05-15T22:50:52.081588+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885457,2026-05-15T22:50:57.068450+00:00,hyperliquid,BTC,-1.5048875e-06,-0.015048875,,,,,
1778885457,2026-05-15T22:50:57.068450+00:00,hyperliquid,ETH,4.159375e-07,0.004159375,,,,,
1778885457,2026-05-15T22:50:57.068450+00:00,hyperliquid,SOL,-8.532375e-07,-0.008532375,,,,,
1778885457,2026-05-15T22:50:57.068450+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885513,2026-05-15T22:51:53.020797+00:00,hyperliquid,BTC,-1.4861e-06,-0.014861,,,,,
1778885513,2026-05-15T22:51:53.020797+00:00,hyperliquid,ETH,4.183e-07,0.004183,,,,,
1778885513,2026-05-15T22:51:53.020797+00:00,hyperliquid,SOL,-8.3735e-07,-0.0083735,,,,,
1778885513,2026-05-15T22:51:53.020797+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885518,2026-05-15T22:51:57.791758+00:00,hyperliquid,BTC,-1.4857e-06,-0.014857,,,,,
1778885518,2026-05-15T22:51:57.791758+00:00,hyperliquid,ETH,4.177625e-07,0.004177625,,,,,
1778885518,2026-05-15T22:51:57.791758+00:00,hyperliquid,SOL,-8.359125e-07,-0.008359125,,,,,
1778885518,2026-05-15T22:51:57.791758+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885574,2026-05-15T22:52:53.738629+00:00,hyperliquid,BTC,-1.47705e-06,-0.0147705,,,,,
1778885574,2026-05-15T22:52:53.738629+00:00,hyperliquid,ETH,4.119875e-07,0.004119875,,,,,
1778885574,2026-05-15T22:52:53.738629+00:00,hyperliquid,SOL,-8.428875e-07,-0.008428875,,,,,
1778885574,2026-05-15T22:52:53.738629+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885578,2026-05-15T22:52:58.482006+00:00,hyperliquid,BTC,-1.4758e-06,-0.014758,,,,,
1778885578,2026-05-15T22:52:58.482006+00:00,hyperliquid,ETH,4.11475e-07,0.00411475,,,,,
1778885578,2026-05-15T22:52:58.482006+00:00,hyperliquid,SOL,-8.433125e-07,-0.008433125,,,,,
1778885578,2026-05-15T22:52:58.482006+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885634,2026-05-15T22:53:54.411550+00:00,hyperliquid,BTC,-1.4570875e-06,-0.014570875,,,,,
1778885634,2026-05-15T22:53:54.411550+00:00,hyperliquid,ETH,4.297875e-07,0.004297875,,,,,
1778885634,2026-05-15T22:53:54.411550+00:00,hyperliquid,SOL,-8.362375e-07,-0.008362375,,,,,
1778885634,2026-05-15T22:53:54.411550+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885639,2026-05-15T22:53:59.156751+00:00,hyperliquid,BTC,-1.4568125e-06,-0.014568125,,,,,
1778885639,2026-05-15T22:53:59.156751+00:00,hyperliquid,ETH,4.303375e-07,0.004303375,,,,,
1778885639,2026-05-15T22:53:59.156751+00:00,hyperliquid,SOL,-8.393625e-07,-0.008393625,,,,,
1778885639,2026-05-15T22:53:59.156751+00:00,hyperliquid,HYPE,1.5625e-06,0.015625,,,,,
1778885695,2026-05-15T22:54:55.115327+00:00,hyperliquid,BTC,-1.4535125e-06,-0.014535125,,,,,
1778885695,2026-05-15T22:54:55.115327+00:00,hyperliquid,ETH,4.421125e-07,0.004421125,,,,,
1778885695,2026-05-15T22:54:55.115327+00:00,hyperliquid,SOL,-8.279e-07,-0.008279,,,,,
